课程1,课程2,相似度
.NET程序设计A.txt,.NET程序设计A.txt,0.7597
.NET程序设计A.txt,.NET程序设计A_mooc.txt,0.4313
.NET程序设计A.txt,CC++语言程序设计.txt,0.3573
.NET程序设计A.txt,CC++语言程序设计_mooc.txt,0.1772
.NET程序设计A.txt,IT基础实训.txt,0.3174
.NET程序设计A.txt,IT基础实训_mooc.txt,0.2932
.NET程序设计A.txt,J2EE框架.txt,0.2436
.NET程序设计A.txt,J2EE框架_mooc.txt,0.2407
.NET程序设计A.txt,Java框架.txt,0.1327
.NET程序设计A.txt,Java框架_mooc.txt,0.1488
.NET程序设计A.txt,JAVA程序设计A.txt,0.2420
.NET程序设计A.txt,JAVA程序设计A_mooc.txt,0.1488
.NET程序设计A.txt,Linux程序设计.txt,0.1074
.NET程序设计A.txt,Linux程序设计_mooc.txt,0.3258
.NET程序设计A.txt,oracle数据库.txt,0.1041
.NET程序设计A.txt,oracle数据库_mooc.txt,0.0918
.NET程序设计A.txt,python语言程序设计.txt,0.3509
.NET程序设计A.txt,python语言程序设计_mooc.txt,0.2919
.NET程序设计A.txt,Visual C++程序设计.txt,0.5026
.NET程序设计A.txt,Visual C++程序设计_mooc.txt,0.4461
.NET程序设计A.txt,Web开发基础与JSP.txt,0.1922
.NET程序设计A.txt,Web开发基础与JSP_mooc.txt,0.2647
.NET程序设计A.txt,人机交互技术.txt,0.1622
.NET程序设计A.txt,人机交互技术_mooc.txt,0.1591
.NET程序设计A.txt,信息安全A.txt,0.2395
.NET程序设计A.txt,信息安全A_mooc.txt,0.1052
.NET程序设计A.txt,嵌入式开发环境与工具.txt,0.1952
.NET程序设计A.txt,嵌入式开发环境与工具_mooc.txt,0.1283
.NET程序设计A.txt,嵌入式系统开发.txt,0.2673
.NET程序设计A.txt,嵌入式系统开发_mooc.txt,0.2732
.NET程序设计A.txt,微机原理与接口技术.txt,0.2347
.NET程序设计A.txt,微机原理与接口技术_mooc.txt,0.1278
.NET程序设计A.txt,操作系统原理1.txt,0.0404
.NET程序设计A.txt,操作系统原理1_mooc.txt,0.1511
.NET程序设计A.txt,操作系统原理2.txt,0.2876
.NET程序设计A.txt,操作系统原理2_mooc.txt,0.1215
.NET程序设计A.txt,数字逻辑电路.txt,0.4047
.NET程序设计A.txt,数字逻辑电路_mooc.txt,0.3161
.NET程序设计A.txt,数据库原理与应用1.txt,0.2185
